date,q_time,rs_time,start_time,q_count,rs_count,start_count,taurus,intice,demand_g,productivity_score
4/1/2020,17,18,47,10,6,3,2,35,6,93
4/2/2020,18,17,41,13,10,4,2,33,5,96
4/3/2020,19,12,36,11,6,2,2,40,6,94
4/4/2020,18,15,45,14,8,2,2,31,6,93
4/5/2020,17,14,39,12,6,2,2,30,6,93
4/6/2020,22,13,42,20,9,4,2,40,5,95
4/7/2020,19,14,36,19,5,4,2,30,5,96
4/8/2020,22,12,55,10,7,2,2,20,6,93
4/9/2020,19,20,40,10,6,3,2,40,6,95
4/10/2020,20,18,41,18,9,3,2,27,5,95
4/11/2020,18,17,45,19,8,3,2,33,6,97
4/12/2020,21,19,46,15,7,3,2,21,6,97
4/13/2020,17,10,41,10,10,2,2,35,6,95
4/14/2020,21,12,46,15,9,2,2,35,6,96
4/15/2020,22,12,40,10,10,2,2,36,5,97
4/16/2020,21,12,40,16,8,4,2,30,5,94
4/17/2020,18,10,39,10,8,3,2,22,6,96
4/18/2020,17,15,50,15,9,4,2,34,5,93
4/19/2020,19,16,49,13,7,3,2,31,5,95
4/20/2020,19,10,40,15,7,2,2,22,6,94
4/21/2020,19,14,44,17,8,3,2,34,5,94
4/22/2020,19,13,54,20,8,2,2,29,5,95
4/23/2020,18,20,36,12,10,3,2,35,5,97
4/24/2020,21,16,42,16,8,3,2,33,5,95
4/25/2020,19,14,36,10,8,2,2,25,5,96
4/26/2020,18,13,41,11,7,4,2,38,6,96
4/27/2020,21,11,52,17,7,2,2,30,6,93
4/28/2020,20,18,49,19,9,4,2,34,5,96
4/29/2020,21,19,37,15,5,3,2,35,5,94
4/30/2020,22,15,48,19,9,4,2,25,6,96
