date,q_time,rs_time,start_time,q_count,rs_count,start_count,taurus,intice,demand_g,productivity_score
4/1/2020,21,18,37,12,7,3,2,36,6,97
4/2/2020,19,19,41,14,6,2,2,22,5,96
4/3/2020,22,19,51,17,7,3,2,28,5,96
4/4/2020,19,20,38,17,6,2,2,32,6,97
4/5/2020,21,16,41,17,7,3,2,35,5,93
4/6/2020,20,12,38,19,7,4,2,30,5,96
4/7/2020,20,13,45,20,5,2,2,24,5,95
4/8/2020,22,15,36,19,5,4,2,38,5,95
4/9/2020,20,13,37,11,8,3,2,33,5,95
4/10/2020,22,12,42,14,5,4,2,31,6,94
4/11/2020,21,17,51,13,8,2,2,29,6,94
4/12/2020,18,15,45,13,8,2,2,24,5,97
4/13/2020,17,13,38,19,10,2,2,37,6,95
4/14/2020,19,17,55,18,8,3,2,34,5,95
4/15/2020,17,10,55,19,9,2,2,25,5,97
4/16/2020,21,18,41,13,9,4,2,31,5,96
4/17/2020,21,20,45,17,8,3,2,21,6,97
4/18/2020,17,12,50,16,5,4,2,20,5,96
4/19/2020,20,15,45,12,8,2,2,26,6,96
4/20/2020,17,19,48,17,8,2,2,30,5,97
4/21/2020,22,13,45,16,10,4,2,21,6,97
4/22/2020,20,20,53,10,6,4,2,27,5,94
4/23/2020,18,20,53,17,7,4,2,29,5,95
4/24/2020,21,18,35,18,6,4,2,21,6,96
4/25/2020,18,15,44,10,7,4,2,31,6,94
4/26/2020,20,20,46,15,8,2,2,39,5,93
4/27/2020,21,14,46,12,5,3,2,34,6,93
4/28/2020,20,18,45,15,7,4,2,30,5,95
4/29/2020,17,13,35,16,10,3,2,29,5,93
4/30/2020,17,14,55,15,7,3,2,20,5,93
